Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open	superior ovary	Ricinus communis
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Rorippa globosa
simple	alternate	4 or 5	unfused or fused	4 or 5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria maculosa
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Cardamine pensylvanica
compound or simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Geum rivale
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum erectum
simple	alternate	4	unfused or fused	4	dry & splits open	superior ovary	Bartonia iodandra
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Amsonia tabernaemontana
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Anthriscus cerefolium
simple	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Amaranthus macrocarpus
simple	alternate	6 or 7	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Sedum hispanicum
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum melongena
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Nicandra physalodes
simple	alternate or opposite or whorled	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala verticillata
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis laxa
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Camelina sativa
simple	alternate	4	unfused	0 or 4	dry & doesn't split open	inferior ovary	Myriophyllum tenellum
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Digitalis grandiflora
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Vicia pannonica
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucumis sativus
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary	Linum medium
simple	alternate	5	unfused or fused	7 or 8	dry & doesn't split open	superior ovary	Polygonum buxiforme
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus pensylvanicus
compound	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Astragalus robbinsii
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Pastinaca sativa
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex persicarioides
simple	opposite	2 or 3	unfused or fused	1	dry & splits open	superior ovary	Elatine minima
simple	alternate or opposite	5	unfused or fused	1	dry & splits open	superior ovary	Veronica filiformis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Lappula squarrosa
simple	alternate	4	unfused or fused	0 or 4	dry & doesn't split open	superior ovary	Parietaria pensylvanica
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Arabidopsis thaliana
compound	alternate or opposite or whorled	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Hylodesmum nudiflorum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Hackelia virginiana
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Trollius laxus
compound	alternate	6	unfused	6	dry & doesn't split open	superior ovary	Caulophyllum giganteum
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum pseudocapsicum
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis pubescens
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Berteroa incana
simple	alternate	4 or 5	unfused or fused	4	dry & splits open	superior ovary	Conopholis americana
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria wallichii
simple	alternate	4	unfused or fused	8	dry & splits open	inferior ovary	Oenothera perennis
compound	alternate	4	unfused	4 or 5 or 6	dry & splits open	superior ovary	Cardamine hirsuta
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Astragalus contortuplicatus
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium bicknellii
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Hedera helix
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Polygonum achoreum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Thermopsis villosa
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Strophostyles leiosperma
compound or simple	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium or superior ovary	Anthyllis vulneraria
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus sceleratus
compound	alternate	5	unfused	10	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Dictamnus albus
compound	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Lathyrus odoratus
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open	superior ovary	Napaea dioica
simple	alternate	5	unfused	13	dry & splits open	superior ovary	Aconitum napellus
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum carolinense
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cicuta maculata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lathyrus latifolius
compound	alternate	4 or 5	unfused or fused	5	dry & doesn't split open	superior ovary & hypanthium	Dalea candida
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla intermedia
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla inclinata
compound	alternate	5	unfused	5	fleshy	inferior ovary	Aralia hispida
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Sida spinosa
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucurbita maxima
simple	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Harrimanella hypnoides
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Brassica juncea
simple	alternate	5	unfused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Hudsonia tomentosa
simple	basal	5	unfused or fused	5	dry & splits open	superior ovary	Drosera filiformis
simple	alternate	5	unfused or fused	5	fleshy	inferior ovary	Thladiantha dubia
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum densiflorum
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium sessilifolium
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago falcata
simple	alternate	3 or 0	unfused	13	fleshy	superior ovary	Hydrastis canadensis
simple	alternate	2 or 3	unfused	0 or 1 or 3	dry & doesn't split open	superior ovary	Amaranthus deflexus
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus caricetorum
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Sibbaldiopsis tridentata
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera pilosella
simple	alternate	3 or 4 or 5	unfused	0 or 5	dry & doesn't split open	superior ovary	Amaranthus tuberculatus
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Anchusa azurea
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium murale
simple	alternate	4 or 5	unfused or fused	5	dry & doesn't split open	superior ovary	Dysphania multifida
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Viola canadensis
simple	alternate	5 or 0 or 6 or 7	unfused or fused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Croton capitatus
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Mertensia maritima
simple	alternate	7	unfused	13	dry & splits open	superior ovary	Sempervivum tectorum
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia kalmii
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Osmorhiza berteroi
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cryptotaenia canadensis
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea coccinea
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Viola arvensis
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera serrulata
compound	alternate	3	unfused	3 or 6	dry & doesn't split open	superior ovary	Floerkea proserpinacoides
simple	alternate	5	unfused or fused	1 or 3	fleshy	inferior ovary	Momordica charantia
simple	alternate	3 or 4 or 5 or 6	unfused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Monotropa uniflora
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Consolida orientalis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis sylvatica
simple	alternate	5	unfused or fused	5 or 6	dry & doesn't split open	superior ovary	Persicaria minor
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Hedysarum alpinum
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sanicula trifoliata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago polymorpha
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lotus unifoliatus
compound	alternate	6	unfused	6	dry & doesn't split open	superior ovary	Caulophyllum thalictroides
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Onobrychis viciifolia
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula rotundifolia
simple	alternate or opposite	5 or 6	unfused or fused	5	dry & splits open	superior ovary	Lysimachia terrestris
simple	alternate	4 or 5	unfused or fused	5	dry & splits open	inferior ovary	Tetragonia tetragonioides
compound	alternate	5	unfused	13	dry & splits open	superior ovary	Aquilegia vulgaris
simple	alternate	3 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia resupinata
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla verna
simple	alternate or opposite	5	unfused or fused	1	dry & splits open	superior ovary	Veronica agrestis
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus recurvatus
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium loeselii
compound	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	13	dry & splits open	superior ovary	Eschscholzia californica
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Iberis umbellata
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria repens
simple	alternate	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Crocanthemum dumosum
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum oxyspermum
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Ligusticum scoticum
simple	alternate	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Tropaeolum majus
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla reptans
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Lespedeza bicolor
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Chamerion angustifolium
simple	alternate	3 or 5	unfused or fused	5	dry & splits open	superior ovary	Impatiens capensis
compound	alternate	5	unfused	5	fleshy	inferior ovary	Aralia nudicaulis
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria punctata
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sinapis alba
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex pulcher
simple	alternate	5 or 6	unfused or fused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Reseda alba
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sinapis arvensis
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Amsinckia lycopsoides
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Argemone albiflora
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Armoracia rusticana
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea hederifolia
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Descurainia sophia
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria dalmatica
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria genistifolia
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Persicaria coccinea
simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium	Saxifraga cernua
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Adlumia fungosa
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium leptophyllum
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia gryposepala
simple	alternate	5	unfused	13	dry & splits open	superior ovary	Aconitum uncinatum
simple	alternate	0	unfused	1	dry & splits open or dry & doesn't split open	superior ovary	Euphorbia cyparissias
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Kickxia elatine
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lupinus polyphyllus
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Navarretia leucocephala
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Corydalis solida
simple	alternate	5	unfused	0 or 5	dry & splits open	superior ovary	Amaranthus pumilus
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Pimpinella saxifraga
compound	alternate	4	unfused	13	dry & splits open	superior ovary	Papaver dubium
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Linum usitatissimum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Cicer arietinum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Strophostyles umbellata
simple	alternate	5	unfused	1 or 5	dry & splits open	superior ovary	Viola labradorica
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium foggii
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Medicago arabica
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis discolor
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Datura inoxia
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula persicifolia
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Anchusa officinalis
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Baptisia bracteata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Astragalus alpinus
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Aegopodium podagraria
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Carum carvi
simple	alternate	5	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Sedum album
compound	alternate	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Thalictrum dioicum
simple	alternate	2 or 0	unfused	13	dry & splits open	superior ovary	Macleaya cordata
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria spartea
simple	alternate	5 or 6 or 7	unfused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Caltha palustris
simple	alternate or basal	5	unfused or fused	5	dry & splits open	superior ovary & hypanthium	Parnassia glauca
simple	alternate or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea pulchella
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum glaucum
simple	alternate	5 or 0	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Atriplex subspicata
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria robustior
simple	alternate	5	unfused	13	dry & splits open	inferior ovary	Mentzelia oligosperma
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium officinale
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Echium creticum
simple	alternate	2 or 4	unfused or fused	4	dry & splits open	superior ovary	Pedicularis furbishiae
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium rotundifolium
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Eryngium amethystinum
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia spicata
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Desmodium obtusum
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Astragalus canadensis
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula trachelium
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malvastrum coromandelianum
simple	alternate or basal	5	unfused	5	dry & doesn't split open	inferior ovary	Hydrocotyle umbellata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Lupinus perennis
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana longiflora
simple	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Pterospora andromedea
simple	alternate	5 or 6	unfused	10	dry & splits open	superior ovary	Sedum sexangulare
simple	alternate	3	unfused	0 or 3	dry & doesn't split open	superior ovary	Amaranthus viridis
simple	alternate	3 or 5	unfused	0 or 3 or 4 or 5	dry & splits open	superior ovary	Amaranthus hypochondriacus
compound	alternate	5	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Aquilegia canadensis
simple	alternate	5	unfused or fused	0 or 4	dry & splits open	superior ovary	Epifagus virginiana
compound	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Lens culinaris
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Apios americana
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Linum perenne
simple	alternate or opposite	4	unfused or fused	1	dry & splits open	superior ovary	Veronica persica
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Heliotropium europaeum
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum nigrum
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Capsella bursa-pastoris
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cicuta bulbifera
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Selinum carvifolia
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia pubescens
simple	opposite	5 or 6	unfused or fused	5	dry & splits open	superior ovary	Lysimachia thyrsiflora
simple	alternate	4	unfused or fused	4	dry & splits open	inferior ovary	Ludwigia alternifolia
compound or simple	alternate	3	unfused or fused	3	dry & doesn't split open	inferior ovary	Proserpinaca palustris
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucumis myriocarpus
simple	alternate or opposite	4	unfused	6	dry & splits open	superior ovary	Lunaria annua
compound or simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Rapistrum rugosum
simple	alternate	5	unfused	10	dry & splits open	superior ovary	Sedum acre
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Hydrophyllum canadense
simple	alternate	0	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Saururus cernuus
compound	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Erodium cicutarium
compound	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Polemonium caeruleum
compound or simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Geum canadense
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary	Linum virginianum
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium strictum
compound	alternate	5	unfused	13	fleshy	superior ovary & hypanthium	Fragaria virginiana
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium altissimum
compound	alternate	4 or 5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary & hypanthium	Lathyrus sativus
simple	alternate	3 or 4 or 5	unfused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Celosia cristata
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana langsdorffii
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium orientale
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Hibiscus moscheutos
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva parviflora
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex obtusifolius
compound	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malva alcea
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Thlaspi arvense
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Gilia tricolor
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Boechera grahamii
compound	alternate or opposite	4	unfused	6	dry & splits open	superior ovary	Cardamine diphylla
compound	alternate	4 or 5	unfused or fused	10	dry & doesn't split open	superior ovary & hypanthium	Trifolium glomeratum
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Potentilla rivalis
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Clarkia pulchella
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open	superior ovary	Cuscuta gronovii
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Bassia hyssopifolia
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium album
simple	alternate or basal	5	unfused	5	dry & doesn't split open	inferior ovary	Hydrocotyle americana
simple	alternate	5	unfused	1 or 5	dry & splits open	superior ovary	Viola tricolor
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Nonea rosea
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla gracilis
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Galega officinalis
simple	alternate	5	unfused or fused	5	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Salsola collina
simple	alternate	4	unfused or fused	8	dry & splits open	inferior ovary	Oenothera villosa
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Amsinckia menziesii
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Boechera laevigata
compound	alternate	4 or 5	unfused or fused	10	dry & splits open	superior ovary & hypanthium	Phaseolus coccineus
compound or simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus hispidus
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Calystegia silvatica
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum tenue
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex verticillatus
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Digitalis purpurea
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Fallopia convolvulus
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Anthriscus sylvestris
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Filipendula rubra
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Peucedanum palustre
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis angulata
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Fallopia dumetorum
