Leaf type	Leaf arrangement	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Flower description
simple	alternate or opposite or whorled	3 or 5	unfused or fused	8	dry & splits open	superior ovary	Polygala verticillata	Polygala	Polygalaceae	Fabales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis laxa	Myosotis	Boraginaceae	Boraginales
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Camelina sativa	Camelina	Brassicaceae	Brassicales
simple	alternate	4	unfused	0 or 4	dry & doesn't split open	inferior ovary	Myriophyllum tenellum	Myriophyllum	Haloragaceae	Saxifragales
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Digitalis grandiflora	Digitalis	Plantaginaceae	Lamiales
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucumis sativus	Cucumis	Cucurbitaceae	Cucurbitales
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary	Linum medium	Linum	Linaceae	Malpighiales
simple	alternate	5	unfused or fused	7 or 8	dry & doesn't split open	superior ovary	Polygonum buxiforme	Polygonum	Polygonaceae	Caryophyllales
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus pensylvanicus	Ranunculus	Ranunculaceae	Ranunculales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Pastinaca sativa	Pastinaca	Apiaceae	Apiales
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex persicarioides	Rumex	Polygonaceae	Caryophyllales
simple	opposite	2 or 3	unfused or fused	1	dry & splits open	superior ovary	Elatine minima	Elatine	Elatinaceae	Malpighiales
simple	alternate or opposite	5	unfused or fused	1	dry & splits open	superior ovary	Veronica filiformis	Veronica	Plantaginaceae	Lamiales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Lappula squarrosa	Lappula	Boraginaceae	Boraginales
simple	alternate	4	unfused or fused	0 or 4	dry & doesn't split open	superior ovary	Parietaria pensylvanica	Parietaria	Urticaceae	Rosales
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Arabidopsis thaliana	Arabidopsis	Brassicaceae	Brassicales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Hackelia virginiana	Hackelia	Boraginaceae	Boraginales
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Trollius laxus	Trollius	Ranunculaceae	Ranunculales
compound	alternate	6	unfused	6	dry & doesn't split open	superior ovary	Caulophyllum giganteum	Caulophyllum	Berberidaceae	Ranunculales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum pseudocapsicum	Solanum	Solanaceae	Solanales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Physalis pubescens	Physalis	Solanaceae	Solanales
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Berteroa incana	Berteroa	Brassicaceae	Brassicales
simple	alternate	4 or 5	unfused or fused	4	dry & splits open	superior ovary	Conopholis americana	Conopholis	Orobanchaceae	Lamiales
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria wallichii	Persicaria	Polygonaceae	Caryophyllales
simple	alternate	4	unfused or fused	8	dry & splits open	inferior ovary	Oenothera perennis	Oenothera	Onagraceae	Myrtales
compound	alternate	4	unfused	4 or 5 or 6	dry & splits open	superior ovary	Cardamine hirsuta	Cardamine	Brassicaceae	Brassicales
simple	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Geranium bicknellii	Geranium	Geraniaceae	Geraniales
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Hedera helix	Hedera	Araliaceae	Apiales
simple	alternate	5	unfused or fused	5 or 6 or 7 or 8	dry & doesn't split open	superior ovary	Polygonum achoreum	Polygonum	Polygonaceae	Caryophyllales
simple	alternate	5	unfused	13	dry & doesn't split open	superior ovary	Ranunculus sceleratus	Ranunculus	Ranunculaceae	Ranunculales
compound	alternate	5	unfused	10	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Dictamnus albus	Dictamnus	Rutaceae	Sapindales
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open	superior ovary	Napaea dioica	Napaea	Malvaceae	Malvales
simple	alternate	5	unfused	13	dry & splits open	superior ovary	Aconitum napellus	Aconitum	Ranunculaceae	Ranunculales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum carolinense	Solanum	Solanaceae	Solanales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cicuta maculata	Cicuta	Apiaceae	Apiales
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla intermedia	Potentilla	Rosaceae	Rosales
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla inclinata	Potentilla	Rosaceae	Rosales
compound	alternate	5	unfused	5	fleshy	inferior ovary	Aralia hispida	Aralia	Araliaceae	Apiales
simple	alternate	5	unfused or fused	13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Sida spinosa	Sida	Malvaceae	Malvales
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucurbita maxima	Cucurbita	Cucurbitaceae	Cucurbitales
simple	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Harrimanella hypnoides	Harrimanella	Ericaceae	Ericales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Brassica juncea	Brassica	Brassicaceae	Brassicales
simple	alternate	5	unfused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Hudsonia tomentosa	Hudsonia	Cistaceae	Malvales
simple	basal	5	unfused or fused	5	dry & splits open	superior ovary	Drosera filiformis	Drosera	Droseraceae	Caryophyllales
simple	alternate	5	unfused or fused	5	fleshy	inferior ovary	Thladiantha dubia	Thladiantha	Cucurbitaceae	Cucurbitales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Verbascum densiflorum	Verbascum	Scrophulariaceae	Lamiales
simple	alternate	3 or 0	unfused	13	fleshy	superior ovary	Hydrastis canadensis	Hydrastis	Ranunculaceae	Ranunculales
simple	alternate	2 or 3	unfused	0 or 1 or 3	dry & doesn't split open	superior ovary	Amaranthus deflexus	Amaranthus	Amaranthaceae	Caryophyllales
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus caricetorum	Ranunculus	Ranunculaceae	Ranunculales
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera pilosella	Oenothera	Onagraceae	Myrtales
simple	alternate	3 or 4 or 5	unfused	0 or 5	dry & doesn't split open	superior ovary	Amaranthus tuberculatus	Amaranthus	Amaranthaceae	Caryophyllales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Anchusa azurea	Anchusa	Boraginaceae	Boraginales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium murale	Chenopodium	Amaranthaceae	Caryophyllales
simple	alternate	4 or 5	unfused or fused	5	dry & doesn't split open	superior ovary	Dysphania multifida	Dysphania	Amaranthaceae	Caryophyllales
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Viola canadensis	Viola	Violaceae	Malpighiales
simple	alternate	5 or 0 or 6 or 7	unfused or fused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Croton capitatus	Croton	Euphorbiaceae	Malpighiales
simple	alternate	7	unfused	13	dry & splits open	superior ovary	Sempervivum tectorum	Sempervivum	Crassulaceae	Saxifragales
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia kalmii	Lobelia	Campanulaceae	Asterales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Osmorhiza berteroi	Osmorhiza	Apiaceae	Apiales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cryptotaenia canadensis	Cryptotaenia	Apiaceae	Apiales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea coccinea	Ipomoea	Convolvulaceae	Solanales
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Viola arvensis	Viola	Violaceae	Malpighiales
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Oenothera serrulata	Oenothera	Onagraceae	Myrtales
compound	alternate	3	unfused	3 or 6	dry & doesn't split open	superior ovary	Floerkea proserpinacoides	Floerkea	Limnanthaceae	Brassicales
simple	alternate	5	unfused or fused	1 or 3	fleshy	inferior ovary	Momordica charantia	Momordica	Cucurbitaceae	Cucurbitales
simple	alternate	3 or 4 or 5 or 6	unfused	8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Monotropa uniflora	Monotropa	Ericaceae	Ericales
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Consolida orientalis	Consolida	Ranunculaceae	Ranunculales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis sylvatica	Myosotis	Boraginaceae	Boraginales
simple	alternate	5	unfused or fused	5 or 6	dry & doesn't split open	superior ovary	Persicaria minor	Persicaria	Polygonaceae	Caryophyllales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Sanicula trifoliata	Sanicula	Apiaceae	Apiales
compound	alternate	6	unfused	6	dry & doesn't split open	superior ovary	Caulophyllum thalictroides	Caulophyllum	Berberidaceae	Ranunculales
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula rotundifolia	Campanula	Campanulaceae	Asterales
simple	alternate or opposite	5 or 6	unfused or fused	5	dry & splits open	superior ovary	Lysimachia terrestris	Lysimachia	Primulaceae	Ericales
simple	alternate	4 or 5	unfused or fused	5	dry & splits open	inferior ovary	Tetragonia tetragonioides	Tetragonia	Aizoaceae	Caryophyllales
compound	alternate	5	unfused	13	dry & splits open	superior ovary	Aquilegia vulgaris	Aquilegia	Ranunculaceae	Ranunculales
simple	alternate	3 or 5	unfused or fused	1	dry & splits open	superior ovary	Utricularia resupinata	Utricularia	Lentibulariaceae	Lamiales
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla verna	Potentilla	Rosaceae	Rosales
simple	alternate or opposite	5	unfused or fused	1	dry & splits open	superior ovary	Veronica agrestis	Veronica	Plantaginaceae	Lamiales
compound or simple	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Ranunculus recurvatus	Ranunculus	Ranunculaceae	Ranunculales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium loeselii	Sisymbrium	Brassicaceae	Brassicales
compound	alternate	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	13	dry & splits open	superior ovary	Eschscholzia californica	Eschscholzia	Papaveraceae	Ranunculales
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Iberis umbellata	Iberis	Brassicaceae	Brassicales
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria repens	Linaria	Plantaginaceae	Lamiales
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum oxyspermum	Polygonum	Polygonaceae	Caryophyllales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Ligusticum scoticum	Ligusticum	Apiaceae	Apiales
simple	alternate	5	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Tropaeolum majus	Tropaeolum	Tropaeolaceae	Brassicales
compound	alternate	5	unfused	13	dry & doesn't split open	superior ovary & hypanthium	Potentilla reptans	Potentilla	Rosaceae	Rosales
simple	alternate	4	unfused	8	dry & splits open	inferior ovary	Chamerion angustifolium	Chamerion	Onagraceae	Myrtales
simple	alternate	3 or 5	unfused or fused	5	dry & splits open	superior ovary	Impatiens capensis	Impatiens	Balsaminaceae	Ericales
compound	alternate	5	unfused	5	fleshy	inferior ovary	Aralia nudicaulis	Aralia	Araliaceae	Apiales
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria punctata	Persicaria	Polygonaceae	Caryophyllales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sinapis alba	Sinapis	Brassicaceae	Brassicales
simple	alternate	6	unfused or fused	6	dry & doesn't split open	superior ovary	Rumex pulcher	Rumex	Polygonaceae	Caryophyllales
simple	alternate	5 or 6	unfused or fused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Reseda alba	Reseda	Resedaceae	Brassicales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sinapis arvensis	Sinapis	Brassicaceae	Brassicales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Amsinckia lycopsoides	Amsinckia	Boraginaceae	Boraginales
simple	alternate	5	unfused or fused	13	dry & splits open	superior ovary	Argemone albiflora	Argemone	Papaveraceae	Ranunculales
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Armoracia rusticana	Armoracia	Brassicaceae	Brassicales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Ipomoea hederifolia	Ipomoea	Convolvulaceae	Solanales
compound	alternate	4	unfused	6	dry & splits open	superior ovary	Descurainia sophia	Descurainia	Brassicaceae	Brassicales
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria dalmatica	Linaria	Plantaginaceae	Lamiales
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria genistifolia	Linaria	Plantaginaceae	Lamiales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Persicaria coccinea	Persicaria	Polygonaceae	Caryophyllales
simple	alternate	5	unfused	10	dry & splits open	superior ovary & hypanthium	Saxifraga cernua	Saxifraga	Saxifragaceae	Saxifragales
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Adlumia fungosa	Adlumia	Papaveraceae	Ranunculales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium leptophyllum	Chenopodium	Amaranthaceae	Caryophyllales
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia gryposepala	Agrimonia	Rosaceae	Rosales
simple	alternate	5	unfused	13	dry & splits open	superior ovary	Aconitum uncinatum	Aconitum	Ranunculaceae	Ranunculales
simple	alternate	0	unfused	1	dry & splits open or dry & doesn't split open	superior ovary	Euphorbia cyparissias	Euphorbia	Euphorbiaceae	Malpighiales
simple	alternate	5	unfused or fused	4	dry & splits open	superior ovary	Kickxia elatine	Kickxia	Plantaginaceae	Lamiales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Navarretia leucocephala	Navarretia	Polemoniaceae	Ericales
compound	alternate	4	unfused or fused	6	dry & splits open	superior ovary	Corydalis solida	Corydalis	Papaveraceae	Ranunculales
simple	alternate	5	unfused	0 or 5	dry & splits open	superior ovary	Amaranthus pumilus	Amaranthus	Amaranthaceae	Caryophyllales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Pimpinella saxifraga	Pimpinella	Apiaceae	Apiales
compound	alternate	4	unfused	13	dry & splits open	superior ovary	Papaver dubium	Papaver	Papaveraceae	Ranunculales
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Linum usitatissimum	Linum	Linaceae	Malpighiales
simple	alternate	5	unfused	1 or 5	dry & splits open	superior ovary	Viola labradorica	Viola	Violaceae	Malpighiales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Chenopodium foggii	Chenopodium	Amaranthaceae	Caryophyllales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Myosotis discolor	Myosotis	Boraginaceae	Boraginales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Datura inoxia	Datura	Solanaceae	Solanales
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula persicifolia	Campanula	Campanulaceae	Asterales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Anchusa officinalis	Anchusa	Boraginaceae	Boraginales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Aegopodium podagraria	Aegopodium	Apiaceae	Apiales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Carum carvi	Carum	Apiaceae	Apiales
simple	alternate	5	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Sedum album	Sedum	Crassulaceae	Saxifragales
compound	alternate	4 or 5	unfused	7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Thalictrum dioicum	Thalictrum	Ranunculaceae	Ranunculales
simple	alternate	2 or 0	unfused	13	dry & splits open	superior ovary	Macleaya cordata	Macleaya	Papaveraceae	Ranunculales
simple	alternate or opposite or whorled	5	unfused or fused	4	dry & splits open	superior ovary	Linaria spartea	Linaria	Plantaginaceae	Lamiales
simple	alternate	5 or 6 or 7	unfused	10 or 11 or 12 or 13	dry & splits open	superior ovary	Caltha palustris	Caltha	Ranunculaceae	Ranunculales
simple	alternate or basal	5	unfused or fused	5	dry & splits open	superior ovary & hypanthium	Parnassia glauca	Parnassia	Celastraceae	Celastrales
simple	alternate or whorled	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Lechea pulchella	Lechea	Cistaceae	Malvales
simple	alternate	5	unfused or fused	8	dry & doesn't split open	superior ovary	Polygonum glaucum	Polygonum	Polygonaceae	Caryophyllales
simple	alternate	5 or 0	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary	Atriplex subspicata	Atriplex	Amaranthaceae	Caryophyllales
simple	alternate	5	unfused or fused	6 or 7 or 8	dry & doesn't split open	superior ovary	Persicaria robustior	Persicaria	Polygonaceae	Caryophyllales
simple	alternate	5	unfused	13	dry & splits open	inferior ovary	Mentzelia oligosperma	Mentzelia	Loasaceae	Cornales
compound or simple	alternate	4	unfused	6	dry & splits open	superior ovary	Sisymbrium officinale	Sisymbrium	Brassicaceae	Brassicales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Echium creticum	Echium	Boraginaceae	Boraginales
simple	alternate	2 or 4	unfused or fused	4	dry & splits open	superior ovary	Pedicularis furbishiae	Pedicularis	Orobanchaceae	Lamiales
simple	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Eryngium amethystinum	Eryngium	Apiaceae	Apiales
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Lobelia spicata	Lobelia	Campanulaceae	Asterales
simple	alternate	5	unfused or fused	5	dry & splits open	inferior ovary	Campanula trachelium	Campanula	Campanulaceae	Asterales
simple	alternate	5	unfused or fused	13	dry & doesn't split open	superior ovary	Malvastrum coromandelianum	Malvastrum	Malvaceae	Malvales
simple	alternate or basal	5	unfused	5	dry & doesn't split open	inferior ovary	Hydrocotyle umbellata	Hydrocotyle	Araliaceae	Apiales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Nicotiana longiflora	Nicotiana	Solanaceae	Solanales
simple	alternate	5	unfused or fused	10	dry & splits open	superior ovary	Pterospora andromedea	Pterospora	Ericaceae	Ericales
simple	alternate	5 or 6	unfused	10	dry & splits open	superior ovary	Sedum sexangulare	Sedum	Crassulaceae	Saxifragales
simple	alternate	3	unfused	0 or 3	dry & doesn't split open	superior ovary	Amaranthus viridis	Amaranthus	Amaranthaceae	Caryophyllales
simple	alternate	3 or 5	unfused	0 or 3 or 4 or 5	dry & splits open	superior ovary	Amaranthus hypochondriacus	Amaranthus	Amaranthaceae	Caryophyllales
compound	alternate	5	unfused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	superior ovary	Aquilegia canadensis	Aquilegia	Ranunculaceae	Ranunculales
simple	alternate	5	unfused or fused	0 or 4	dry & splits open	superior ovary	Epifagus virginiana	Epifagus	Orobanchaceae	Lamiales
simple	alternate	5	unfused	5	dry & splits open	superior ovary	Linum perenne	Linum	Linaceae	Malpighiales
simple	alternate or opposite	4	unfused or fused	1	dry & splits open	superior ovary	Veronica persica	Veronica	Plantaginaceae	Lamiales
simple	alternate	5	unfused or fused	5	dry & doesn't split open	superior ovary	Heliotropium europaeum	Heliotropium	Boraginaceae	Boraginales
simple	alternate	5	unfused or fused	5	fleshy	superior ovary	Solanum nigrum	Solanum	Solanaceae	Solanales
simple	alternate	4	unfused	6	dry & splits open	superior ovary	Capsella bursa-pastoris	Capsella	Brassicaceae	Brassicales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Cicuta bulbifera	Cicuta	Apiaceae	Apiales
compound	alternate	5	unfused	5	dry & doesn't split open	inferior ovary	Selinum carvifolia	Selinum	Apiaceae	Apiales
compound	alternate	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Agrimonia pubescens	Agrimonia	Rosaceae	Rosales
simple	opposite	5 or 6	unfused or fused	5	dry & splits open	superior ovary	Lysimachia thyrsiflora	Lysimachia	Primulaceae	Ericales
simple	alternate	4	unfused or fused	4	dry & splits open	inferior ovary	Ludwigia alternifolia	Ludwigia	Onagraceae	Myrtales
compound or simple	alternate	3	unfused or fused	3	dry & doesn't split open	inferior ovary	Proserpinaca palustris	Proserpinaca	Haloragaceae	Saxifragales
simple	alternate	5	unfused or fused	0 or 3	fleshy	inferior ovary	Cucumis myriocarpus	Cucumis	Cucurbitaceae	Cucurbitales
simple	alternate or opposite	4	unfused	6	dry & splits open	superior ovary	Lunaria annua	Lunaria	Brassicaceae	Brassicales
compound or simple	alternate	4	unfused	6	dry & doesn't split open	superior ovary	Rapistrum rugosum	Rapistrum	Brassicaceae	Brassicales
simple	alternate	5	unfused	10	dry & splits open	superior ovary	Sedum acre	Sedum	Crassulaceae	Saxifragales
simple	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Hydrophyllum canadense	Hydrophyllum	Boraginaceae	Boraginales
simple	alternate	0	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open or fleshy	superior ovary	Saururus cernuus	Saururus	Saururaceae	Piperales
compound	opposite	5	unfused	10	dry & doesn't split open	superior ovary	Erodium cicutarium	Erodium	Geraniaceae	Geraniales
compound	alternate	5	unfused or fused	5	dry & splits open	superior ovary	Polemonium caeruleum	Polemonium	Polemoniaceae	Ericales
compound or simple	alternate	5	unfused	10 or 11 or 12 or 13	dry & doesn't split open	superior ovary & hypanthium	Geum canadense	Geum	Rosaceae	Rosales
simple	alternate or opposite	5	unfused	5	dry & splits open	superior ovary	Linum virginianum	Linum	Linaceae	Malpighiales
