Value ID	Value
164	goes all the way around the stem at the base
165	heart-shaped with rounded lobes at the base (cordate)
166	wedge-shaped with straight, converging edges at the base (cuneate), or narrow
167	rounded at the base
168	ends abruptly in a straight line as though cut off (truncate)
169	arrow-shaped with pointed lobes directed backwards (sagittate)
170	halberd-shaped with outward-pointing basal lobes (hastate)
171	simple hairs with no glands
172	branched hairs
173	hairs with glands at their tips
174	tangled or woolly-looking hairs
175	widest near the middle and tapering at both ends (elliptic)
176	rectangular with rounded ends (oblong)
177	widest below the middle and broadly tapering at both ends (ovate)
178	spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)
179	roughly circular as wide as long (orbicular)
180	heart-shaped with backward-facing rounded lobes (cordate), or arrow-shaped with backward-facing pointed lobes (sagittate)
181	very narrow with more or less parallel sides (linear)
182	lance-shaped; widest below the middle and tapering at both ends (lanceolate)
183	triangular with the stalk or attachment point on one of the sides
184	egg-shaped with the widest point above the middle (obovate)
185	rhombic: roughly diamond-shaped
186	lance-shaped; widest above the middle (oblanceolate)
187	kidney-shaped; wider than long (reniform)
188	extremely narrow, thread-like (filiform)
189	halberd-shaped; with slightly sunken sides, and outward-pointing basal lobes (hastate)
190	awl-shaped; narrowly tapering from the base to the tip (subulate)
191	fan-shaped (flabellate)
192	uniform
193	with spots, mottlers or stripes
194	along leaf edges
195	at the tip of the leaf
196	at the basal margin
197	at the center of the leaf blade (like an umbrella), or somewhere between the edge and the center
198	is narrow where it attaches to the stem
199	clasps the stem or sheathes the stem
200	outward-pointing teeth
201	forward-pointing teeth
202	rounded teeth
203	lobes that radiate from the base like a hand
204	a row of two or more lobes on each side of the central axis
205	margin is wavy, but does not have teeth
206	teeth which themselves have smaller teeth
207	lobes that themselves have lobes (may be more than three levels of lobes)
208	row of two or more lobes on each side of the central axis, and each lobe has rows of lobes on each side of its central axis
209	one
210	two
211	growing only at the base of the plant
212	three
213	four
214	five
215	seven or more
216	six
217	no leaves
218	have a terminal leaflet (odd number of leaflets per axis)
219	3 well developed leaflets 
220	5 well developed leaflets 
221	lack a terminal leaflet (even number of leaflets per axis)
222	straight or slanted across the top
223	does not have tiny hairs at the tips
224	hairy with hairs standing out at a 45 to 90 degree angle, or pressed to the stipule surface
225	hairy with hairs directed downward
226	some expanded and with leaf-like color and/or texture
227	with fringe of cilia along the top edge
228	with two lobes at their tips
229	at least one full leaf above the base
230	no leaves above the base
231	palmate
232	pinnate
233	from a leaf or leaflet
234	two prominent lips
235	a concave, hood-like, upper lip
236	the tube is curved upwards
237	flowers are arrayed in a spiral around the inflorescence axis
238	flowers occur singly
239	flowers occur in several ranks
240	nearly all flowers are arrayed on one side of the inflorescence axis
241	two cycles
242	one cycle
243	no ribs or wings
244	four ribs or wings
245	two ribs or wings
246	three ribs or wings
247	five ribs or wings
248	by three main valves, teeth or pores
249	by two main valves, teeth or pores
250	splits by four main valves, teeth or pores
251	splits by five main valves, teeth or pores
252	splits by seven main valves, teeth or pores
253	splits by six main valves, teeth or pores
254	tapers to a long, thin point (acuminate)
255	bluntly pointed (obtuse)
256	sharply pointed (acute)
257	rounded, with no point
258	blunt or rounded, with a notch at the tip (retuse)
259	ends abruptly in a  straight line as though cut off (truncate)
260	has  a very long tail-like projection ending in a point (caudate)
261	plain, without glands or branches, and not tangled
262	have glands
263	are branched
264	are tangled, matted or woolly
265	yes, and it partially covers the fruit
266	smooth, with no hairs or scales
267	with rough hairs or scales
268	points upwards
269	angled outwards
270	bends downwards
271	hangs downwards
272	hairs without glands
273	some of the hairs have glands
274	no hairs
275	bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)
276	cup-shaped (cupuliform)
277	urn-shaped, with a swollen tube contracted near the top, then slightly expanded in a narrow rim (urceolate)
278	platter-shaped, the corolla flattened, circular, with nearly horizontally spreading lobes (rotate)
279	funnel-shaped (funnelform)
280	tube-shaped (cylindric)
281	with a slender basal tube and  horizontally spreading mouth (salverform)
282	gradually or does not narrow
283	abruptly
284	spoon-shaped: narrow near the base, then suddenly widening to a rounded tip (spatulate)
285	rectangular but with rounded ends (oblong)
286	lance-shaped with the widest point above the middle of the leaf blade (oblanceolate)
287	ellipse-shaped: widest near the middle and tapering at both ends (elliptic)
288	roughly circular, as wide as long (orbicular)
289	extremely narrow, thread-like (linear)
290	lance-shaped: narrow, gradually tapering from the base to the tip (lanceolate)
291	roughly triangular
292	with a blunt or rounded apex and a notch at the center (retuse)
293	ends abruptly in a more or less straight line as though cut off (truncate)
294	rounded
295	tapers to a very narrow point (acuminate)
296	lobed or fringed
297	green or brown, and leaf-like in texture
298	resemble petals in color and texture
299	roughly circular, as wide as long
300	rectangular, but with rounded ends (oblong)
301	lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)
302	egg-shaped, but with the widest point above the middle (obovate)
303	roughly spoon-shaped; narrow near the base, suddenly widening to a rounded tip (spatulate)
304	widest near the middle and tapering at both ends (eliiptic)
305	awl-shaped: narrowly tapering from the base to the apex (subulate)
306	lance-shaped, but with the widest point above the middle (oblanceolate)
307	all about the same size
308	one or more is much narrower or shorter than the others
309	all approximately the same length
310	four long stamens and two short ones (tetradynamous)
311	two long stamens and two short ones (didynamous)
312	like half a sphere (hemispherical)
313	with parallel sides that do not taper, and flat across the top and bottom (cylindrical)
314	spherical
315	widest in the middle and tapering to each end (ellipsoid)
316	flat or strongly compressed
317	egg-shaped (ovoid)
318	egg-shaped, but with the widest point above the middle (obovoid)
319	longer than wide and with rounded ends (obloid)
320	narrow, widest below the middle and tapering at both ends (lanceoloid)
321	roughly shaped like a top, triangular in profile, but with a rounded end (turbinoid)
322	roughly traingular, but with the stem at one of the points (obtriangular)
323	roughly pear-shaped (pyriform)
324	conical
325	narrrow, widest above the middle and tapering at both ends (oblanceoloid)
326	point upward or spread or curve outward
327	curve or droop downwards
328	extend above flowers and buds
329	extend below flowers and buds
330	green, with a leaf-like texture
331	thin, dry and papery, possibly with a narrow green stripe at the center
332	have a hard and bony or firm and leathery texture
333	symmetrical
334	flat (planar) at the edges
335	the edges are curled under
336	the edges are curled up
337	the major veins radiate out from one point at the base
338	the secondary veins branch off at intervals from the primary vein
339	leafy (herbaceous)
340	thin and dry like paper (scarious)
341	thin and flexible and almost translucent like a membrane (membranaceous)
342	spongy
343	firm, leathery (coriaceous)
344	the major veins branch, but do not rejoin
345	the major veins form a net-like pattern due to splitting and rejoining
346	one main vein running from the base towards the tip
347	three or more main veins that start at or near the leaf blade base and run from the base towards the tip
348	flat against the leaf surface, mostly pointing towards the leaf tip
349	standing up straight or curved in different directions
350	curved or lying flat, mostly pointed toward the  base of the leaf
351	is dull or slightly shiny
352	is very shiny
353	gradual
354	abrupt
355	all leaves are nearly similar in size, teeth, and length of stalks
356	the lower leaves are larger, toothier, and/or on longer stalks than the upper leaves
357	unpleasant
358	pleasant
359	point mostly upwards to outwards
360	pressed flat against the plant, pointing towards the tip
361	point downwards
362	bend outwards and then downwards
363	upright or angled outwards
364	trail at the base, but may turn upwards at the tips
365	solitary plant
366	a few plants are growing together
367	growing in tufts, or compact clusters with closely spaced stems
368	densely matted together in clumps, cushionlike
369	very thin but flexible, like a membrane
370	leaf-like
371	firm or rigid
372	thin and dry, paperlike
373	attached near its midpoint to the filament
374	attached by its base to the filament
375	one or more have a horn-like (hardened) appendage
376	one or more have a spine at the tip
377	one or more winged
378	one or more have a prominent keel (a ridge that runs along the midline from base to tip)
379	one or more have glands on their surface
380	one or more have glands that are raised from the surface by a stalk
381	one or more are arched and enfolding, hood-shaped
382	notched
383	long unbranched stem with stalked flowers growing along it (raceme)
384	each ray of the umbel terminating in another smaller umbel (branched umbel)
385	the inflorescence has only one flower on it
386	with long lower branches and shorter upper branches, giving it a more or less flat-topped look (corymb)
387	simple umbels
388	a simple or forked spike with 2 or more verticils
389	contracted
390	elongate
