Fruit length (mm)	60^250	12	2	<=2	6.5^9	5^10	5^11	10	3^4	0.7^1	3^3.3	0.15^0.3	0.4^0.5	0.25^0.4	0.35^0.45	20^30	0.1^0.15	20^80	<=8	2^5	1.3^1.7	1.7^2.5	1.2^3	2.5^4	1.5^2.5	2^2.5	2^3	1.5^2	1.5^3	4^6	1^1.6	15^40	2^3.5	2.5^3	80^120	5^9	3^6	4^6.5	4^7	25^30	7^9	6^10	15	60^120	1.3^2	15^31	0.3^2.6	15^45	8^18	12^35	30^50	5^6	20^45	24^45	2.5	8^16	10^20	5^13	30^40	13^25	6^8	1.2^4	1^2.5	3.5^9	30^60	20^50	7^15	25^45	12^30	45^80	10^45
Bulbils	no	yes																																																																					
Bulblets replace flowers	no	yes																																																																					
Carpels fused	fused	solitary	not fused	NA																																																																			
Carpels fused	fused	solitary	not fused	?																																																																			
Cleistogamous flowers	no	some																																																																					
Cleistogamous flowers	no	some																																																																					
Corolla palate	no	yes	NA																																																																				
Corolla palate	no	yes	?																																																																				
Epicalyx	yes	no	NA																																																																				
Epicalyx	yes	no	NA																																																																				
Epicalyx number of parts	7^12	0	6^9	5	3	10^12	0^6	3^9																																																															
Epicalyx number of parts	7^12	0	6^9	5	3	10^12	0^6	3^9																																																															
Flower description	superior ovary and no hypanthium	"inferior ovary, with or without hypanthium"	superior ovary and hypanthium	NA																																																																			
Flower description	superior ovary and no hypanthium	"inferior ovary, with or without hypanthium"	superior ovary and hypanthium	?																																																																			
Flower reproductive parts	both pollen- and seed-producing parts	only pollen- or only seed-producing parts																																																																					
Flower reproductive parts	both pollen- and seed-producing parts	only pollen- or only seed-producing parts																																																																					
Form of style	branched above the base	two or more completely separate styles	narrow at the tip and unbranched	"lobed at the tip, and unbranched"	"knob-like at the tip, and unbranched"	NA	"unbranched, but has two or more narrow appendages"																																																																
Form of style	branched above the base	two or more completely separate styles	narrow at the tip and unbranched	"lobed at the tip, and unbranched"	"knob-like at the tip, and unbranched"	?	"unbranched, but has two or more narrow appendages"																																																																
Fused stamen clusters	1	2																																																																					
Fused stamen clusters	1	2																																																																					
Hypanthium	no	yes																																																																					
Hypanthium	no	yes																																																																					
Inner tepals (Rumex)	one of the inner tepals has a tubercle	two or three of the inner tepals have tubercles	the inner tepals do not have tubercles on them	the margins of the inner tepals have teeth or spines on them	the inner tepals have at least one tubercle that is more than three quarters the length of the tepal	the inner tepals have a tubercle that extends below the base of the tepal																																																																	
Inner tepals (Rumex)	1 tepal has tubercle	2-3 tepals have tubercles	no tubercles	have teeth or spines	tubercle extends to over 1/3 of the flower	tubercle  extends below the base of tepal
Marks on petals	the petals have spots or streaks on them	there are no noticeable marks on the petals	NA																																																																				
Marks on petals	spots or stripes	no marks	?																																																																				
Nectar spur	the flower has no nectar spurs	the flower has one or more nectar spurs																																																																					
Nectar spur	no	yes																																																																					
Number of carpels	5	5^30	10^15	3	1	2	15^40	2^4	10^20	1^15	3^7	4^80	2^3	5^10	4	2^6	1^10	4^5	6^12	4^6	3^5	2^5	Up to 6	8^20	12^15	9^15	8^15	0^4	5^15	10^40	2^9	6^8	1^2	8^16	3^8	1^70																																			
Number of carpels	5	5^30	10^15	3	1	2	15^40	2^4	10^20	1^15	3^7	4^80	2^3	5^10	4	2^6	1^10	4^5	6^12	4^6	3^5	2^5	<=6	8^20	12^15	9^15	8^15	0^4	5^15	10^40	2^9	6^8	1^2	8^16	3^8	1^70																																			
Number of pistils	1	5	6 or more	3	4	2	0	NA																																																															
Number of pistils	1	5	>=6	3	4	2	0	?																																																															
Number of styles	1	5^30	3	0	2	0^1	2^3	5	anything	2^4	1^3	2^5	3^4	1^5	1^0	4^7	At least 1	10^40	1^15	10	Up to 1	4	8^16																																																
Number of styles	1	5^30	3	0	2	0^1	2^3	5	any	2^4	1^3	2^5	3^4	1^5	1^0	4^7	>=1	10^40	1^15	10	<=1	4	8^16																																																
Ovary position	the ovary is above the point of petal and/or sepal  attachment	the ovary is below the point of petal and/or sepal attachment																																																																					
Ovary position	above the point of petal  attachment	below the point of petal attachment																																																																					
Petal and sepal colors	blue to purple	white	yellow	orange	green to brown	pink to red	NA	other																																																															
Petal and sepal colors	blue to purple	white	yellow	orange	green to brown	pink to red	?	?																																																															
Petal appearance	"the petals are thin and delicate, and pigmented (colored other than green or brown)"	NA	the petals are green and/or leafy in texture																																																																				
Petal appearance	"thin, delicate, pigmented"	?	green and/or leefy in texture																																																																				
Petal folds or pleats	the petals of the flower do not have folds or plaits	NA	the petals of the flower have folds or plaits on them																																																																				
Petal folds or pleats	no	?	yes																																																																				
Petal hairs (Viola)	"the side petals of the flower are hairy with hairs that are narrow or very slightly expanded at the tip, but not knob-shaped"	the spurred petal of the flower is hairless	"the side petals of the flower are hairy, with hairs that are knob-shaped (with a narrow base and a thickened knob at the tip)"	the spurred petal of the flower has hairs	the side petals of the flower are hairless																																																																		
Petal hairs (Viola)	side petals with narrow hairs	spurred petals are hairless	side petals with knob-shaped hairs	spurred petals hairy	side petals are hairless																																																																		
Petal length relative to sepals	the petals are longer than the sepals	the petals are about equal in length to the sepals	the petals are shorter than the sepals	NA																																																																			
Petal length relative to sepals	petals longer than sepals	petals about same size as sepals	petals shorter than sepals	?																																																																			
Petal number	5	0	2	At least 2	4^10	1^8	4	At least 5	4^5	4^6	Up to 5	anything	0^4	6	5^6	5^8	0^5	3^5	2^3	3	7^10	5^9	3^6	14^30	0^10	8^12	9^13	At least 4	2^4	6^9	5^7	4^14	Up to 4	4^12	12^16	At least 0	10^25																																		
Petal number	5	0	2	>=2	4^10	1^8	4	>=5	4^5	4^6	<=5	any	0^4	6	5^6	5^8	0^5	3^5	2^3	3	7^10	5^9	3^6	14^30	0^10	8^12	9^13	>=4	2^4	6^9	5^7	4^14	<4	4^12	12^16	0	10^25																																		
Petal tips (Cuscuta)	the tips of the petals stand up straight or slant outwards	the tips of the petals are curled inwards																																																																					
Petal tips (Cuscuta)	straihgt or slunt outwards	curled inwards																																																																					
Reproductive system	all the flowers have both carpels and stamens (synoecious)	"each flower has only carpels or only stamens, but both types of flower are present on each plant (monoecious)"	"all the flowers on each plant have only carpels or only stamens, with only one type being present on each plant (dioecious)"	"the plant has flowers with both carpels and stamens, as well as flowers with only carpels or only stamens (polygamous)"	NA																																																																		
Reproductive system	synoecious: all flowers have carpels and stamens	"monoecious: each flower has either carpel or stamen, but both types on the same plant"	dioecious: all the flowers of the same plant have either carpel or stamen	"polygamous: flowers with both carpels and stamens, with only carpels or stamens, all in the same plant"	?																																																																		
Scales inside corolla	no	yes	NA																																																																				
Scales inside corolla	no	yes	?																																																																				
Sepal and petal color	the sepals are different from the petals	NA	the petals and sepals are similar																																																																				
Sepal and petal color	is different	?	is similar																																																																				
Sepal appendages	the sepals do not have appendages on them	NA	the sepals have one or more appendages on them																																																																				
Sepal appendages	no	?	yes																																																																				
Sepal length	20^30	5^8	2^4.5	0	1^4	2^4	5^6	3^5	9^12	8^18	2.5^4	0.2^0.5	0.3	4^6	4.6^10.5	5^6.5	4^6.5	4^7	3.5^7.5	0.5	0.3^0.4	7^10	4^5	1.5^3.2	1.5^4.5	2^2.5	3^4	At least 3	3.5^7	3^8	6^25	10^18	2.3^11	3^12	1.5^5	5^10	4^12	1.5^2	2.5^4.5	4^8	1.5^2.5	1.2^2.5	1^2	1^2.3	2.5^6	2^3	3^6	2^5	9^13	9^19	0.7^1	0.5^0.7	1.3^1.8	6^10	10^15	8^13	3.5^5	0^0.3	8^12	Up to 9	15^30	30^50	Up to 5	Up to 4	2.5^3	2.5^3.5	4	Up to 1.5	5^12	2^3.5	5^9
Sepal length	20^30	5^8	2^4.5	0	1^4	2^4	5^6	3^5	9^12	8^18	2.5^4	0.2^0.5	0.3	4^6	4.6^10.5	5^6.5	4^6.5	4^7	3.5^7.5	0.5	0.3^0.4	7^10	4^5	1.5^3.2	1.5^4.5	2^2.5	3^4	>=3	3.5^7	3^8	6^25	10^18	2.3^11	3^12	1.5^5	5^10	4^12	1.5^2	2.5^4.5	4^8	1.5^2.5	1.2^2.5	1^2	1^2.3	2.5^6	2^3	3^6	2^5	9^13	9^19	0.7^1	0.5^0.7	1.3^1.8	6^10	10^15	8^13	3.5^5	0^0.3	8^12	<=9	15^30	30^50	<=5	<=4	2.5^3	2.5^3.5	4	<1.5	5^12	2^3.5	5^9
Sepal number	5	4	3^5	2	0	3	0^5	4^5	2^3	anything	2^4	5^12	6	3^4	5^10	At least 0	4^8	4^6	5^9	2^5	4^7	1	3^6	2^10	At least 2	5^6	6^9	6^7	12^16	10																																									
Sepal number	5	4	3^5	2	0	3	0^5	4^5	2^3	any	2^4	5^12	6	3^4	5^10	0	4^8	4^6	5^9	2^5	4^7	1	3^6	2^10	>=2	5^6	6^9	6^7	12^16	10																																									
Sepals fused only to sepals	"the sepals are fused to each other (not other flower parts), at least near their bases"	the sepals are separate from one another																																																																					
Sepals fused only to sepals	yes	no																																																																					
Stamen attachment	the stamens are attached at or near the bases of the petals or tepals	the stamens are not attached to the petals or tepals	NA																																																																				
Stamen attachment	attached at the bases of petals	not attached to petals	?																																																																				
Stamen position relative to petals	the stamens are lined up with the sepals	NA	the stamens are lined up with the petals																																																																				
Stamen position relative to petals	lined up with sepals	?	lined up with petals																																																																				
Stamens fused	the stamens are attached to one another at or near their bases	the stamens are not attached to one another																																																																					
Stamens fused	yes	no																																																																					
Staminodes	there are no staminodes on the flower	the flower has staminodes																																																																					
Staminodes	no	yes																																																																					
Stigma position	the stigmas are positioned at the tip of the style	the stigmas are positioned on the inner surface of the style	the stigmas are in another position	the stigmas are positioned in lines on the ovary	NA																																																																		
Stigma position	at the tip of the style	on the inner surface of the style	?	in lines on the ovary	?																																																																		
Umbel flower reproductive parts	all the flowers at the final division of the umbel have both carpels and stamens	some or all the flowers at the final division of the umbel have stamens only																																																																					
Umbel flower reproductive parts	all the flowers have both carpels and stamens	some or all the flowers have stamens only																																																																					
Upper lip of bilabiate corolla	NA	the upper lip of the bilabiate corolla has two lobes	the upper lip of the bilabiate corolla has one lobe																																																																				
Upper lip of bilabiate corolla	?	with 2 lobes	with 1 lobe																																																																				
Achene relative orientation	the achenes are perpendicular to the plane of the perianth (vertical)	the achenes are parallel to the plane of the perianth (horizontal)																																																																					
Achene relative orientation	perpendicular to the plane of the perianth (vertical)	parallel to the plane of the perianth (horizontal)																																																																					
Achene shape	the achenes are circular in outline	the achenes are another shape in outline	the achenes are oval in outline																																																																				
Achene shape	circular	?	oval																																																																				
Achene surface (Polygonum)	the achene has tiny rounded bumps or projections on it (papillose)	the achene has tiny rounded bumps or projections on it as well as parallel lines or ridges (striate-papillose)	the achene is smooth (it has no detectable texture)	the achene has irregular bumps on it that makes it rough	the achene has a slightly rough texture due to extreemly fine-grained irregularities																																																																		
Achene surface (Polygonum)	with tiny rounded bumps or projections (papillose)	with tiny rounded bumps or projections plus parallel lines or ridges (striate-papillose)	smooth	with irregular bumps (rough)	with fine-grained irregularities (slightly rough)																																																																		
Achene type	"the fruit is an achene (dry, indehiscent, and usually one-seeded)"	the fruit is a utricle (a type of achene in which the pericarp is loosely attached and often readily removed)	NA																																																																				
Achene type	"dry, indehiscent, and usually one-seeded fruit (achene)"	pericarp is loosely attached and often readily removed (utricle)	?																																																																				
Berry color	red	white	other	purple	green	brown	yellow	blue	orange	NA																																																													
Berry color	red	white	?	purple	green	brown	yellow	blue	orange	?																																																													
Capsule color (Viola)	NA	the capsule is entirely green	the capsule is spotted or tinted with red to purple-brown																																																																				
Capsule color (Viola)	?	entirely green	spotted or tinted with red to purple-brown																																																																				
Fruit (pyxis) dehiscence	the pyxis splits on or near the middle	NA	the pyxis bursts open or shatters without a clear seam	the pyxis splits below the middle	the pyxis splits above the middle																																																																		
Fruit (pyxis) dehiscence	splits on or near the middle	?	bursts open or shatters without a clear seam	splits below the middle	splits above the middle																																																																		
Fruit features (Brassicaceae)	"the surface of the fruits are wrinkled, the fruits are covered with a netlike pattern (i.e., reticulate), or covered with bumps on the surface of the fruit (tuberculate)"	"the fruits have an elongate beak (narrow, pointed projection) at the tip that does not split open"	"the fruits do not split open at maturity (i.e., they are indehiscent)"																																																																				
Fruit features (Brassicaceae)	"the surface is wrinkled (reticulate), or covered with bumps (tuberculate)"	with elongate beak at the tip that does not split open	do not split open at maturity (indehiscent)																																																																				
Fruit locules	five	six or more	three	one	two	four																																																																	
Fruit locules	5	>=6	3	1	2	4																																																																	
Fruit type (specific)	"the fruit is a capsule (splits along two or more seams, apical teeth or pores when dry, to release two or more seeds)"	"the fruit is a schizocarp (when dry it splits into sections, each holding one or more seeds)"	the fruit is a follicle (has one ovary that splits along one side to release the seeds)	"the fruit is a berry (fleshy, with the wall enclosing one or more sections, with two or more seeds)"	"the fruit is an achene (dry, usually one-seeded, does not separate or split open at maturity)"	"the fruit is a silique (greater than three times as long as wide, and dehisces by two valves, leaving the persistent replum to which the seeds are attached, found only in the Brassicaceae)"	"the fruit is a silicle (similar to a silique, but less than or equal to three times as long as wide)"	"the fruit is a pyxis (when dry it splits around the middle, and the top falls off, exposing the seeds)"	"the fruit is a legume (a fruit that splits into two valves, but only has a single carpel; think of a pea pod)"	"the fruit is a drupe (fleshy, with a firm inner ovary wall that encloses a single seed)"	NA	"the fruit is a nut (dry and indehiscent, with a hard wall, usually containing only one seed and usually subtended by an involucre)"	the fruit is an aggregate (composed of multiple fused ovaries from one flower)																																																										
Fruit type (specific)	splits along seams to release seeds (capsule)	splits into sections with one or more seeds each (schizocarp)	one ovary splits along one side to release the seeds (follicle)	fleshy with the wall enclosing sections each  with two or more seeds (berry)	dry usually one-seeded does not split open (achene)	elongated height/width  3 and dehisces by two valves leaving  persistent replum to which seeds are attached (silique)	elongated but height/width < 3 (silicle)	splits around the middle and the top falls off exposing the (pyxis)	"splits into two valves, but has a single carpel like a pea pod (legume)"	"fleshy, with  firm inner ovary wall that encloses a single seed (drupe)"	?	"dry and indehiscent, with a hard wall, usually containing only one seed (nut)"	composed of multiple fused ovaries from one flower (aggregate)
Legumes (Fabaceae)	the legume has valves that split elastically and coil after they split	the legume has none of the mentioned special features	the legume is coiled in a spiral before it splits or falls	the legume has internal partitions arranged cross-wise along the fruit	the legume has prickles on it																																																																		
Legumes (Fabaceae)	with valves that split elastically and coil	?	coiled in spirals before they split or fall	with internal partitions arranged cross-wise along the fruit	with prickles 																																																																		
Mericarp length	0	anything	3^4	2.5^4	2^3	2^3.5	1.5^2	3^5	4^6.5	5^9	4^7	6.8^8.5	3.3^6.8	5^10	2.5^3	3^4.5	2^4	4.5^8	1.5^2.5	5^8	5^6.5	7^13	3.5^8.5	8^11	5^7.5	4^9	3^3.5	2^5	1.4^1.5	2^2.5	1.8^2.1	5^7	1.5^3	7^12	6^10	2.7^4	4^6	4	Up to 2.5	1.2^1.5	1^1.2	12^22	15^22	10^15	0.7^1.7	26^85	5^6	Up to 4	4^5																						
Mericarp length	?	?	3^4	2.5^4	2^3	2^3.5	1.5^2	3^5	4^6.5	5^9	4^7	6.8^8.5	3.3^6.8	5^10	2.5^3	3^4.5	2^4	4.5^8	1.5^2.5	5^8	5^6.5	7^13	3.5^8.5	8^11	5^7.5	4^9	3^3.5	2^5	1.4^1.5	2^2.5	1.8^2.1	5^7	1.5^3	7^12	6^10	2.7^4	4^6	4	<=2.5	1.2^1.5	1^1.2	12^22	15^22	10^15	0.7^1.7	26^85	5^6	<=4	4^5																						
Mericarp segment shape (Desmodium)	the mericarp is rounded on the lower margin	the mericarp is roughly triangular on the lower margin																																																																					
Mericarp segment shape (Desmodium)	rounded on the lower margin	roughly triangular on the lower margin																																																																					
Other markings on berry	the ripe berries are mostly one color without spots or streaks	the ripe berries have spots or streaks on them	NA																																																																				
Spots or streaks on berries	no	yes	?																																																																				
Ovary stipe	the ovary or fruit does not have a stipe	the ovary or fruit has a stipe																																																																					
Ovary stipe	no	yes																																																																					
Rows of seeds in fruit (Brassicaceae)	there is one row of seeds in each locule of the fruit	there are two or more rows of seeds in each locule of the fruit																																																																					
Rows of seeds in fruit (Brassicaceae)	1 row of seeds in each locule	>=2 rows of seeds in each locule																																																																					
Schizocarpic fruit compression	the fruit is not flattened	the fruit is flattened perpendicular to the commissure	the fruit is flattened parallel to the commissure																																																																				
Schizocarpic fruit compression	not flattened	flattened perpendicular to the commissure	flattened parallel to the commissure																																																																				
Schizocarpic fruit segments	0	anything	15^20	2	15^40	4	10^20	2^11	3^5	4^6	2^3	3^7	1^5	1^3	1^4	3^6	2^4	5	0^3	2^5	9^15	8^20	10^12	8^14	14^22	5^15	5^12	6^8	3^12	4^13	4^14																																								
Schizocarpic fruit segments	0	any	15^20	2	15^40	4	10^20	2^11	3^5	4^6	2^3	3^7	1^5	1^3	1^4	3^6	2^4	5	0^3	2^5	9^15	8^20	10^12	8^14	14^22	5^15	5^12	6^8	3^12	4^13	4^14																																								
Seed relative length	the seed is about as long as it is wide	the seed is longer than it is wide																																																																					
Seed relative length	same width and height	height is greater than width																																																																					
Seed surface	the seed is smooth or without clear markings	the seed has hairs on it	the seed has tubercles on it (swellings or projections of a different color or texture than the seed)	the seed has a surface characteristic other than those listed	the seed has parallel ridges on it (ribbed)	the seed is hairless	the seed is covered with reticulate markings (a netlike pattern due to splitting and rejoining of lines or ridges)	"the seed is covered with short, round or cylindrical projections (papillae)"	the seed has pits or depressions on it	the seed has glands on it (tiny protuberances or depressions that produce a sticky or greasy substance)																																																													
Seed surface	smooth or without markings	with hairs 	with tubercles of a different color or texture 	?	with parallel ridges (ribbed)	no hair	with a netlike pattern 	"with short, round or cylindrical projections (papillae)"	with pits or depressions 	with glands that produce a sticky or greasy substance																																																													
Wings on fruit	the fruit does not have wings on it	the fruit has one or more wings on it	NA																																																																				
Wings on fruit	no	yes	?																																																																				
prickles on fruits	the fruits do not have thorn-like defensive structures	the fruits are armed with thorns-like defensive structures	NA																																																																				
Fruits with thorn-like defensive structures	no	yes	?																																																																				
Glands on leaf blade	the leaf blades do not have glandular dots or scales	the leaf blades have glandular dots or scales	NA																																																																				
Leaves have glandular dots or scales	no	yes	?																																																																				
Sap	the sap is clear and watery	"the sap is milky and opaque, and may be white or colored"																																																																					
Sap	clear and watery	milky and opaque																																																																					
Sap color	the sap is clear	the sap is white	the sap is some other color																																																																				
Sap color	clear	white	not white																																																																				
Growth form	the plant is an herb (it has self-supporting stems)	the plant is a subshrub (small shrub with partially herbaceous stems)	the plant is a vine (it cannot support its own weight)																																																																				
Growth form	herb	small shrub	vine																																																																				
Plant color	the leaves or young stems of the plant are green	"the plant lacks green pigments, even on the leaves or young stems"																																																																					
Young leaf color	green	not green																																																																					
Spines on plant	there are spines on the plant	the plant has no spines																																																																					
Spines on plant	yes	no																																																																					
Bracteole number (Apiaceae)	0	2^5	At least 0	anything	5^6	0^3	3^6	2^4	5^7	4^15	6^10	0^1	0^2	1^3	At least 4	0^8	4^8																																																						
Bracteole number (Apiaceae)	0	2^5	>=0	any	5^6	0^3	3^6	2^4	5^7	4^15	6^10	0^1	0^2	1^3	>=4	0^8	4^8																																																						
Final leaf segment length (compound lvs only)	0	20^90	10^20	25^80	40^120	20^80	40^150	30^100	5^50	17^52	Up to 100	Up to 150	10^40	4^15	5^20	15^80	25^90	7^70	anything	30^150	7^20	20^100	4^20	10^50	1^16	13^40	5^35	3^25	50^100	30^80	6^15	40^70	30^60	10^30	Up to 40	20^50	8^25	3^12	2^15	50^90	60^120	50^140	15^35	25^75	40^90	30^70	10^25	Up to 30	70^150	10^60	15^60	15^50	70^120	20^40	50^600	Up to 60	40^100	6^22	18^25	6^20	20^60	10^75	15^45	15^40	6^30	4^18	5^25	8^20	5^15	5^12	4^12
Final leaf segment length (compound lvs only)	0	20^90	10^20	25^80	40^120	20^80	40^150	30^100	5^50	17^52	<=100	<=150	10^40	4^15	5^20	15^80	25^90	7^70	any	30^150	7^20	20^100	4^20	10^50	1^16	13^40	5^35	3^25	50^100	30^80	6^15	40^70	30^60	10^30	<=40	20^50	8^25	3^12	2^15	50^90	60^120	50^140	15^35	25^75	40^90	30^70	10^25	<=30	70^150	10^60	15^60	15^50	70^120	20^40	50^600	<=60	40^100	6^22	18^25	6^20	20^60	10^75	15^45	15^40	6^30	4^18	5^25	8^20	5^15	5^12	4^12
Final leaf segment length to width ratio (compound lvs only)	0	2^2.5	2^2.4	1^1.5	1.5^2.5	2^2.7	1.3^3.5	4^5	2^3	1.5^5.5	1.4^1.7	1.25^4	0.67	2^2.9	2.3^3.3	1.6^2.2	1.7^1.8	0.8^1.5	3^6	2.5^6	1.5^2.3	3	2	At least 2.5	2.5^4	2.5^5	2.5^3.5	1.5^5	3^10	1.5^3.5	0.8^1.2	anything	1	1.5^1.7	0.8^0.9	0.8^1	2.5^4.5	3^4.5	1.2^1.5	At least 0	2^3.5	1.6^2.5	At least 2	2.5^9	3^5	Up to 1.5	2^8	1.5^3	1.2^1.8	1.2^2	1^3.5	4^7	2^5	0.7^1.1	1^2.5	1^2	1.2^2.5	2^4	2^2.1	1^1.8	1^1.4	1.8^2	1.3^2	1.4^1.8	2.9^3	Up to 30	2.2^2.7	2.3^3.5	1.3^1.8	3.5^5	1.7^2
Final leaf segment length to width ratio (compound lvs only)	0	2^2.5	2^2.4	1^1.5	1.5^2.5	2^2.7	1.3^3.5	4^5	2^3	1.5^5.5	1.4^1.7	1.25^4	0.67	2^2.9	2.3^3.3	1.6^2.2	1.7^1.8	0.8^1.5	3^6	2.5^6	1.5^2.3	3	2	>=2.5	2.5^4	2.5^5	2.5^3.5	1.5^5	3^10	1.5^3.5	0.8^1.2	any	1	1.5^1.7	0.8^0.9	0.8^1	2.5^4.5	3^4.5	1.2^1.5	?	2^3.5	1.6^2.5	>=2	2.5^9	3^5	<=1.5	2^8	1.5^3	1.2^1.8	1.2^2	1^3.5	4^7	2^5	0.7^1.1	1^2.5	1^2	1.2^2.5	2^4	2^2.1	1^1.8	1^1.4	1.8^2	1.3^2	1.4^1.8	2.9^3	<=30	2.2^2.7	2.3^3.5	1.3^1.8	3.5^5	1.7^2
Hairs on underside of leaf	the underside of the leaf is fuzzy or hairy	"the underside of the leaf is not hairy, or it has very few hairs"	NA																																																																				
Hairs on underside of leaf	fuzzy or hairy	"not hairy, or with very few hairs"	?																																																																				
Hairs on upper side of leaf	the upper side of the leaf is fuzzy or hairy	"the upper side of the leaf is not hairy, or it has very few hairs"	NA																																																																				
Hairs on upper side of leaf	fuzzy or hairy	"not hairy, or with very few hairs"	?																																																																				
Leaf arrangement	alternate: there is one leaf per node along the stem	opposite: there are two leaves per node along the stem	basal:  the leaves are growing only at the base of the plant	whorled: there are three or more leaves per node along the stem	NA	there are no apparent leaves except on the reproductive stems																																																																	
Leaf arrangement	1 leaf per node (alternate)	2 leaves per node (opposite)	at the base of the plant (basal)	>=3 leaves per node (whorled)	?	no apparent leaves																																																																	
Leaf blade base	the leaf has a distinct leaf stalk (petiole)	the leaf has no stalk	the leaf has no stalk and at the base it clasps the stem	"the leaf has no stalk and at the base it goes all the way around the stem, so that it appears that the stem pierces the leaf"	NA																																																																		
Leaf blade base	has stalk (petiole)	has no stalk	clasps the stem at the base	goes all the way around the stem at the base	?																																																																		
Leaf blade base shape	"the base of the leaf blade is cordate (heart-shaped, has rounded lobes at the base)"	"the base of the leaf blade is cuneate (wedge-shaped, tapers to the base with relatively straight, converging edges), or narrow"	the base of the leaf blade is rounded	the base of the leaf blade is truncate (ends abruptly in a more or less straight line as though cut off)	"the base of the leaf blade is sagittate (arrow-shaped, with pointed lobes directed backwards)"	"the base of the leaf blade is hastate (halberd-shaped, with outward-pointing basal lobes)"	NA																																																																
Leaf blade base shape	heart-shaped with rounded lobes at the base (cordate)	"wedge-shaped with straight, converging edges at the base (cuneate), or narrow"	rounded at the base	ends abruptly in a straight line as though cut off (truncate)	arrow-shaped with pointed lobes directed backwards (sagittate)	halberd-shaped with outward-pointing basal lobes (hastate)	?																																																																
Leaf blade hairs	"the leaf blade has simple hairs with no glands, and not tangled or wooly"	NA	the leaf blade has branched hairs	the leaf blade has hairs with glands at their tips	the leaf blade has tangled or woolly-looking hairs																																																																		
Leaf blade hairs	simple hairs with no glands	?	branched hairs	hairs with glands at their tips	tangled or woolly-looking hairs																																																																		
Leaf blade length	Up to 350	50^200	20^50	30^90	20^100	20^90	40^100	Up to 120	100^450	100^700	20^130	100^250	Up to 70	Up to 320	Up to 130	35^80	70^300	50^120	30^150	30^80	30^45	5^80	10^40	10^60	50^150	30^200	10^20	30^120	20^150	40^120	15^70	40^80	10^15	15^150	10^70	Up to 100	80^150	50^300	Up to 200	120^350	100^300	100^200	30^60	4^85	4^45	20^30	10^80	Up to 800	70^200	Up to 300	40^60	100^600	20^80	30^350	5^100	15^180	10^120	25^120	12^80	30^50	15^60	10^30	10^110	15^110	10^100	0.5^4.5	5^10	25^100	Up to 270	60^210	30^110
Leaf blade length	<=350	50^200	20^50	30^90	20^100	20^90	40^100	<=120	100^450	100^700	20^130	100^250	<=70	<=320	<=130	35^80	70^300	50^120	30^150	30^80	30^45	5^80	10^40	10^60	50^150	30^200	10^20	30^120	20^150	40^120	15^70	40^80	10^15	15^150	10^70	<=100	80^150	50^300	<=200	120^350	100^300	100^200	30^60	4^85	4^45	20^30	10^80	<=800	70^200	<=300	40^60	100^600	20^80	30^350	5^100	15^180	10^120	25^120	12^80	30^50	15^60	10^30	10^110	15^110	10^100	0.5^4.5	5^10	25^100	<=270	60^210	30^110
