199	Is lobe margin wavy, but does not have teeth	
200	Do you see teeth which themselves have smaller teeth	
201	Do lobes that themselves have lobes (may be more than three levels of lobes) if any	
202	Do you see row of two or more lobes on each side of the central axis, and each lobe has rows of lobes on each side of its central axis	
203	one	Are
204	two	Are 
205	growing only at the base of the plant	Are
206	three	Are
207	four	Are
208	five	Are
209	seven or more	Are
210	six	Are
211	Are there NO leaves	
212	have a terminal leaflet (odd number of leaflets per axis)	Do
213	lack a terminal leaflet (even number of leaflets per axis)	Do
214	Is stipule straight or slanted across the top	
215	Does stipules NOT have tiny hairs at the tips	
216	Is stipule hairy with hairs standing out at a 45 to 90 degree angle, or pressed to the stipule surface	
217	Is stipule hairy with hairs directed downward	
218	Are some stipules expanded and with leaf-like color and/or texture	
219	Are stipules with fringe of cilia along the top edge	
220	Are stipules with two lobes at their tips	
221	Is there at least one full leaf above the base	
222	Is there NO leaves above the base at all	
223	from a leaf or leaflet	Is the
224	Do corolla have two prominent lips	
225	Do corolla have a concave, hood-like, upper lip	
226	Is the corolla tube curved upwards	
227	 Are flowers arrayed in a spiral around the inflorescence axis	
228	 Are flowers occur singly	
229	Do flowers occur in several ranks	
230	Are nearly all flowers arrayed on one side of the inflorescence axis	
231	two cycles	Is the
232	one cycle	Is the
233	Are there NO ribs or wings ar all	
234	Are there four ribs or wings	
235	Are there two ribs or wings	
236	Are there three ribs or wings	
237	Are there five ribs or wings	
238	by three main valves, teeth or pores	Are
239	by two main valves, teeth or pores	Are
240	by four main valves, teeth or pores	Are
241	circumscissile toward base	Are
242	splits by five main valves, teeth or pores	Are
243	splits by seven main valves, teeth or pores	Are
244	splits by six main valves, teeth or pores	Are
245	tapers to a long, thin point (acuminate)	Is the
246	bluntly pointed (obtuse)	Is the
247	sharply pointed (acute)	Is the
248	rounded, with no point	Is the
249	blunt or rounded, with a notch at the tip (retuse)	Is the
250	end abruptly in a  straight line as though cut off (truncate)	Does the
251	have  a very long tail-like projection ending in a point (caudate)	Does the
252	plain, without glands or branches, and not tangled	Are
253	have glands	Do
254	branched	Are
255	tangled, matted or woolly	Are
256	(partially covers the fruit)	Is there
257	smooth, with no hairs or scales	Is the
258	with rough hairs or scales	Is the
259	Do the flower points upwards	
260	Is the flower angled outwards	
261	Do the flower bend downwards	
262	Do the flower hang downwards	
263	without glands	Are
264	have glands	Are some
265	Are there NO hairs on inflorescence axis	
266	Is perianth bell-shaped, with a tube about as long as wide, flaring at the mouth (campanulate)	
267	Is perianth cup-shaped (cupuliform)	
268	Is perianth urn-shaped, with a swollen tube contracted near the top, then slightly expanded in a narrow rim (urceolate)	
269	Is perianth platter-shaped, the corolla flattened, circular, with nearly horizontally spreading lobes (rotate)	
270	Is perianth funnel-shaped (funnelform)	
271	Is perianth tube-shaped (cylindric)	
272	Is perianth with a slender basal tube and  horizontally spreading mouth (salverform)	
273	Do petal gradually or does not narrow	
274	abruptly	Does
275	spoon-shaped (narrow near the base, then suddenly widening to a rounded tip (spatulate))	Is
276	rectangular but with rounded ends (oblong)	Is
277	lance-shaped with the widest point above the middle of the leaf blade (oblanceolate)	Is
278	ellipse-shaped: widest near the middle and tapering at both ends (elliptic)	Is
279	roughly circular, as wide as long (orbicular)	Is
280	Is sepal extremely narrow, thread-like (linear)	
281	lance-shaped (narrow, gradually tapering from the base to the tip (lanceolate))	Is
282	roughly triangular	Is
283	Is the petal tip with a blunt or rounded apex and a notch at the center (retuse)	
284	Dose the petal tip end abruptly in a more or less straight line as though cut off (truncate)	
285	rounded	Is
286	Does sepal tip tapers to a very narrow point (acuminate)	
287	lobed or fringed	Are
288	Is sepal green or brown, and leaf-like in texture	
289	Do sepals resemble petals in color and texture	
290	roughly circular, as wide as long	Is
291	rectangular, but with rounded ends (oblong)	Is
292	Is sepal lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)	
293	Is sepal egg-shaped, but with the widest point above the middle (obovate)	
294	Is sepal roughly spoon-shaped; narrow near the base, suddenly widening to a rounded tip (spatulate)	
295	Is sepal widest near the middle and tapering at both ends (eliiptic)	
296	Is sepal awl-shaped (narrowly tapering from the base to the apex (subulate))	
297	Is sepal lance-shaped, but with the widest point above the middle (oblanceolate)	
298	Are sepals all about the same size	
299	Is one or more sepals much narrower or shorter than the others	
300	Are stamens all approximately the same length	
301	Are there four long stamens and two short ones (tetradynamous)	
302	Are there two long stamens and two short ones (didynamous)	
303	like half a sphere (hemispherical)	Is
304	Are fruits with parallel sides that do not taper, and flat across the top and bottom (cylindrical)	
305	spherical	Is
306	Is fruit widest in the middle and tapering to each end (ellipsoid)	
307	Are fruits flat or strongly compressed	
308	Is fruit egg-shaped (ovoid)	
309	Is fruit egg-shaped, but with the widest point above the middle (obovoid)	
310	Is fruit longer than wide and with rounded ends (obloid)	
311	Is fruit narrow, widest below the middle and tapering at both ends (lanceoloid)	
312	Is fruit roughly shaped like a top, triangular in profile, but with a rounded end (turbinoid)	
313	Is fruit roughly traingular, but with the stem at one of the points (obtriangular)	
314	Is fruit roughly pear-shaped (pyriform)	
315	conical	Is
316	Is the base of the fruit notched or cordate	
317	Is the base of fruit truncate to rounded	
318	Is fruit narrrow, widest above the middle and tapering at both ends (oblanceoloid)	
319	point upward or spread or curve outward	Do
320	curve or droop downwards	Do
321	young fruits extending well above flowers and buds	Do
322	young fruits generally not extending above flowers and buds	Do
323	Is floral bract green, with a leaf-like texture	
324	Is floral bract thin, dry and papery, possibly with a narrow green stripe at the center	
325	Do floral bract have a hard and bony or firm and leathery texture	
326	Is leaf blade symmetrical	
327	Is leaf blade flat (planar) at the edges	
328	Are the edges of leaf blade curled under	
329	Are the the edges of leaf blade are curled up	
330	Does the major veins radiate out from one point at the base	
331	Does the secondary veins branch off at intervals from the primary vein	
332	leafy (herbaceous)	Is the
333	thin and dry like paper (scarious)	Is the
334	thin and flexible and almost translucent like a membrane (membranaceous)	Is the
335	spongy	Is the
336	firm, leathery (coriaceous)	Is the
337	Does the major veins branch, but do not rejoin	
338	Does the major veins form a net-like pattern due to splitting and rejoining	
339	Is one main vein running from the base towards the tip	
340	Do three or more main veins that start at or near the leaf blade base and run from the base towards the tip	
341	Does leaf hair flat against the leaf surface, mostly pointing towards the leaf tip	
342	Is leaf hair standing up straight or curved in different directions	
343	Is leaf hair curved or lying flat, mostly pointed toward the  base of the leaf	
344	dull or slightly shiny	Is
345	very shiny	Is
346	gradualy	Does
347	abruptly	Does
348	Are all leaves along the stem nearly similar in size, teeth, and length of stalks	
349	Are the lower leaves on the stem, toothier, and/or on longer stalks than the upper leaves	
350	unpleasant	Is the
351	pleasant	Is the
352	Does stem hairs point mostly upwards to outwards	
353	Are stem hairs pressed flat against the plant, pointing towards the tip	
354	Do stem hairs point downwards	
355	Do plant hairs bend outwards and then downwards	
356	Is the stem upright or angled outwards	
357	Does the stem trail at the base, but may turn upwards at the tips	
358	Is it a solitary plant	
359	Are there a few plants growing together	
360	Are stems growing in tufts, or compact clusters with closely spaced stems	
361	Are stems densely matted together in clumps, cushionlike	
362	very thin but flexible, like a membrane	Is the
363	leaf-like	Is the
364	firm or rigid	Is the
365	thin and dry, paperlike	Is the
366	Is the anther attached near its midpoint to the filament	
367	Is the anther attached by its base to the filament	
368	Do one or more sepals have a horn-like (hardened) appendage	
369	Do one or more sepals have a spine at the tip	
370	Are one or more sepals winged	
371	Do one or more sepals have a prominent keel (a ridge that runs along the midline from base to tip)	
372	Do one or more sepals have glands on their surface	
373	Do one or more sepals have glands that are raised from the surface by a stalk	
374	Are one or more sepals arched and enfolding, hood-shaped	
375	notched	Is the
376	Is the inflorescence long unbranched stem with stalked flowers growing along it (raceme)	
377	Is each ray of the umbel terminating in another smaller umbel (branched umbel)	
378	Does the inflorescence has only one flower on it	
379	Is the inflorescence with long lower branches and shorter upper branches, giving it a more or less flat-topped look (corymb)	
380	simple umbels	Is the
381	 simple	Is the
382	Is the inflorescence forked spike with 2 or more verticils	
383	contracted	Is the
384	elongate	Is the
