Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	?	simple	entire	radially symmetrical	3	not fused	0||3	dry but does not split open	1.7^2.5	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	3^5	?	?||not attached to petals||not attached to petals	?	?	no	?	?	?	?	?	?	?	?	?	splits on or near the middle	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	10^40	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)||spoon-shaped: narrow near the base suddenly widening to a rounded tip (spatulate)	uniform	?	no	?	at the basal margin	is narrow where it attaches to the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	10^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped (ovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus blitoides	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical	3	not fused	0||3	dry and splits open	1.2^3	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	3	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?||circular||oval	?	pericarp is loosely attached and often readily removed (utricle)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	10^60	egg-shaped with the widest point above the middle (obovate)||widest below the middle and broadly tapering at both ends (ovate)	with spots, mottlers or stripes||uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	10^60	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	flat or strongly compressed||egg-shaped, but with the widest point above the middle (obovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus blitum	Amaranthus	Amaranthaceae	Caryophyllales
aquatic||wetlands	?	simple	entire	?||radially symmetrical	5||4||0||3||2	not fused	0||3||4||5	dry but does not split open	2.5^4	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	dioecious: all the flowers of the same plant have either carpel or stamen	?	?	no	?	0^5	?	?||?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?||oval	?	pericarp is loosely attached and often readily removed (utricle)	?	?	?||bursts open or shatters without a clear seam	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	50^150	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||very narrow with more or less parallel sides (linear)	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	100^300	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	?||one cycle	?	?	?	?	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped, but with the widest point above the middle (obovoid)||egg-shaped (ovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus cannabinus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical	5||4	not fused	0||5	dry and splits open	1.5^2.5	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	blue to purple||green to brown||pink to red	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	4^5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	50^200	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	50^250	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped, but with the widest point above the middle (obovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus caudatus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical	5	not fused	0||4||5	dry and splits open	2^2.5	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	blue to purple||green to brown||pink to red	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	30^200	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	40^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped, but with the widest point above the middle (obovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus cruentus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	3||2	not fused	0||1||2||3	dry but does not split open	2^3	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	2^3	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	pericarp is loosely attached and often readily removed (utricle)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	10^20	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	20^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	widest in the middle and tapering to each end (ellipsoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus deflexus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	5	not fused	0||5	dry and splits open	1.5^2	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	30^120	widest near the middle and tapering at both ends (elliptic)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	30^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped (ovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus dubius	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	5	not fused	0||4||5	dry and splits open	1.5^2.5	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	20^150	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	30^250	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped, but with the widest point above the middle (obovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus hybridus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	5||3	not fused	0||3||4||5	dry and splits open	1.5^3	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	blue to purple||green to brown||pink to red	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	3^5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	fuzzy or hairy||not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	40^120	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	40^250	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	flat or strongly compressed||egg-shaped (ovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus hypochondriacus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	?	not fused	?	dry and splits open	1.5^2	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	?	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	?	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	?	?	?	?	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	?	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus macrocarpus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical	5	not fused	0||5	dry and splits open	2^3	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	2^3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	dioecious: all the flowers of the same plant have either carpel or stamen	?	?	no	?	5	?	?||?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?	?	?	?	?	splits on or near the middle	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	15^70	widest near the middle and tapering at both ends (elliptic)||lance-shaped; widest below the middle and tapering at both ends (lanceolate)||egg-shaped with the widest point above the middle (obovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	30^130	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped, but with the widest point above the middle (obovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus palmeri	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical||bilaterally symmetrical	5||4||3	not fused	0||3||4||5	dry and splits open	4^6	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	3^5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	?	?	?	?	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	?	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	40^80	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	30^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	flat or strongly compressed||egg-shaped (ovoid)||spherical	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus powellii	Amaranthus	Amaranthaceae	Caryophyllales
aquatic||terrestrial||wetlands	?	simple	entire	radially symmetrical||bilaterally symmetrical	5	not fused	0||5	dry and splits open	1.5^2.5	no	fused	no	?	no	0	superior ovary and no hypanthium	?	?||unbranched, but has two or more narrow appendages	?	no	?	?	no	?	0||1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	?	5	?	?||not attached to petals||not attached to petals	?||lined up with sepals	?	no	?	?	?	perpendicular to the plane of the perianth (vertical)	?||oval	?	pericarp is loosely attached and often readily removed (utricle)	?	?	?	?	1	dry usually one-seeded does not split open (achene)	?	?	?	?	no	?	?	0	?	?	no	no	no	clear and watery	clear	?	green	no	0	0	0	not hairy, or with very few hairs	?	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	10^15	egg-shaped with the widest point above the middle (obovate)||roughly circular as wide as long (orbicular)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	?	at the basal margin	clasps the stem or sheathes the stem	?	0	one	?	?	no	?	?	at least one full leaf above the base	10^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	?	?	?	?	no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	egg-shaped (ovoid)	?	?	?	?	0	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	gradual	?	?	?	?	?	no	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Amaranthus pumilus	Amaranthus	Amaranthaceae	Caryophyllales
terrestrial	?	simple	entire	radially symmetrical	5	not fused	3||4||5	dry and splits open	1.5^2.5	no	fused	no	?	no	0	superior ovary and no hypanthium	only pollen- or only seed-producing parts	lobed at the tip, and unbranched	?	no	?	?	no	2^4	1	3	above the point of petal  attachment	green to brown	?	?	?	?	0	?	monoecious: each flower has either carpel or stamen, but both types on the same plant	?	?	no	2^4	5	no	not attached to petals	lined up with sepals	no	no	?	?	?	?	?	?	?	?	?	splits on or near the middle	?	1	splits around the middle and the top falls off exposing the (pyxis)	?	?	?	?	no	?	?	0	same width and height	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	0	0	0	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	simple hairs with no glands	20^150	widest below the middle and broadly tapering at both ends (ovate)||rhombic: roughly diamond-shaped	uniform	10^70	no	yes	at the basal margin	clasps the stem or sheathes the stem	entire||margin is wavy, but does not have teeth	0	one	?	?	no	?	yes	at least one full leaf above the base	20^200	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	one cycle	0	?	?	sharply pointed (acute)||bluntly pointed (obtuse)	plain, without glands or branches, and not tangled	no	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	?	?	?	?	?	?	0	?	?	?	?	green or brown, and leaf-like in texture	green to brown||?||pink to red	lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)||egg-shaped, but with the widest point above the middle (obovate)||roughly spoon-shaped; narrow near the base, suddenly widening to a rounded tip (spatulate)	?	?	?	widest in the middle and tapering to each end (ellipsoid)||egg-shaped, but with the widest point above the middle (obovoid)	?	1^1.3	no	yes||no	0	thin, dry and papery, possibly with a narrow green stripe at the center	yes	yes	no	no	?	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	?	15^55	?	gradual	all leaves are nearly similar in size, teeth, and length of stalks	?	?	?	point mostly upwards to outwards	no	?	?	upright or angled outwards	?	?	0	thin and dry, paperlike	0	20^300	0.1^1	?	?	0	?	no	?	?	attached near its midpoint to the filament	10^50	?	?	bluntly pointed (obtuse)	?	0.9^1	?	?	?	0.7^0.9	0	Amaranthus retroflexus	Amaranthus	Amaranthaceae	Caryophyllales
