Leaf type	Flower petal color	Leaf arrangement	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type (general)	Bulbils	Petal and sepal colors	Fringed petal edges	Inflorescence type	Flower description	Wings on fruit	Calyx symmetry	Growth form	Parasitism	Spines on plant
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Medicago lupulina
simple	white	alternate	entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Datura wrightii
simple	green to brown or yellow	alternate	entire	radially symmetrical	5	unfused	10	dry & splits open	no bulbils	green to brown or yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sedum acre
compound	white	alternate	lobes or entire	radially symmetrical	3	unfused	3 or 6	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Floerkea proserpinacoides
compound or simple	yellow	alternate	lobes or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	?	herb	not parasitic	no spines or with spines	Foeniculum vulgare
simple	white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lepidium latifolium
simple	blue to purple or pink to red	alternate	teeth	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Heliotropium amplexicaule
compound	pink to red	alternate	lobes	radially symmetrical	4	unfused	13	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Papaver dubium
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Barbarea stricta
simple	blue to purple	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lappula squarrosa
simple	white	basal	entire	radially symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	insectivorous or not parasitic	no spines or with spines	Drosera linearis
simple	other or pink to red or white	basal	teeth or entire	radially symmetrical or bilaterally symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	other or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Pyrola elliptica
simple	white	alternate or basal	entire	radially symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Parnassia glauca
simple	white or yellow	alternate	lobes or teeth or entire	radially symmetrical or bilaterally symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aurinia saxatilis
simple	other or white	alternate	teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	other or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Boechera canadensis
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Agrimonia gryposepala
simple	blue to purple or white	alternate	lobes or teeth	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Datura stramonium
simple	yellow	alternate	teeth	radially symmetrical	4	unfused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera grandiflora
simple	yellow	alternate or opposite or whorled	teeth or entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Linaria genistifolia
simple	?	alternate or opposite	teeth	radially symmetrical	5 or 0	fused	5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Atriplex glabriuscula
compound	pink to red or white	alternate	teeth or entire	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium hybridum
simple	?	alternate	entire	radially symmetrical	0	?	1	dry & splits open or dry & doesn't split open	no bulbils	?	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	?	herb	not parasitic	no spines or with spines	Euphorbia cyparissias
compound	white	alternate	teeth	radially symmetrical	5	unfused	13	fleshy	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Fragaria vesca
simple	blue to purple or pink to red or white	alternate	lobes	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Ipomoea hederacea
simple	white	alternate	entire	radially symmetrical or bilaterally symmetrical	5	fused	5	dry & doesn't split open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Myosotis verna
simple	white	alternate or whorled	entire	radially symmetrical	5 or 6 or 7	unfused or fused	5 or 6 or 7 or 8 or 9	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lysimachia borealis
simple	green to brown or white	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	green to brown or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Onosmodium bejariense
simple	blue to purple	basal	entire	radially symmetrical	5	unfused or fused	5	dry & splits open	no bulbils	blue to purple or pink to red	fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	insectivorous or not parasitic	no spines or with spines	Drosera filiformis
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Polygonum fowleri
simple	white	alternate	entire	radially symmetrical	4 or 5	fused	4 or 5	dry & splits open or dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	parasitic on other plants	no spines or with spines	Cuscuta polygonorum
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus sardous
compound	yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lathyrus pratensis
simple	white or yellow	alternate	teeth	radially symmetrical	5	fused	13	dry & splits open or dry & doesn't split open or fleshy	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sida spinosa
compound	white	alternate	lobes or entire	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Bifora radians
simple	blue to purple or green to brown or orange or other or pink to red or white or yellow	alternate	lobes	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	unfused or fused	0 or 1 or 3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open or dry & doesn't split open	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ricinus communis
simple	yellow	alternate	lobes or entire	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus allegheniensis
simple	yellow	alternate	teeth or entire	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus gmelinii
compound	white	alternate	lobes or teeth or entire	radially symmetrical	5	unfused	5	dry & doesn't split open	with bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Cicuta bulbifera
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Vicia cracca
simple	green to brown or pink to red or white	alternate	entire	radially symmetrical	5	fused	8	dry & doesn't split open	no bulbils	green to brown or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium or superior ovary or inferior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Fallopia scandens
simple	blue to purple or pink to red or white	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	blue to purple or pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Arabis pycnocarpa
simple	yellow	alternate	entire	radially symmetrical	4	unfused or fused	8	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oenothera perennis
simple	green to brown	alternate	entire	radially symmetrical	4	unfused	1 or 3 or 4 or 5 or 6	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oxyria digyna
simple	pink to red or white or yellow	alternate or opposite	teeth or entire	bilaterally symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	fused	4	dry & splits open or dry & doesn't split open or fleshy	no bulbils	pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sesamum orientale
simple	white	alternate	teeth or entire	asymmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Boechera laevigata
compound	yellow	alternate	entire	radially symmetrical	5	unfused or fused	10	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Oxalis florida
simple	white	alternate	entire	radially symmetrical or bilaterally symmetrical	4	unfused	6	dry & splits open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Arabis procurrens
compound	?	alternate	teeth	radially symmetrical	4	unfused	4	dry & doesn't split open	no bulbils	blue to purple or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Sanguisorba officinalis
compound	white	alternate	teeth	bilaterally symmetrical	4 or 5	fused	10	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium repens
simple	white	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Armoracia rusticana
simple	pink to red or white	alternate	entire	radially symmetrical	5	unfused or fused	10	fleshy	no bulbils	pink to red or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub	not parasitic	no spines or with spines	Epigaea repens
simple	pink to red	alternate or opposite or whorled	entire	radially symmetrical	5	unfused	3 or 4 or 5 or 6 or 7 or 8 or 9 or 10 or 11 or 12 or 13	dry & splits open	no bulbils	pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Lechea minor
compound	yellow	alternate	entire	bilaterally symmetrical	3 or 5	fused	1	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	insectivorous	no spines or with spines	Utricularia minor
simple	yellow	alternate	teeth	bilaterally symmetrical	5	unfused	1 or 5	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Viola pubescens
simple	yellow	alternate	lobes or teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Ranunculus sceleratus
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Heracleum mantegazzianum
simple	?	alternate or basal	entire	bilaterally symmetrical	1	fused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings	bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Aristolochia clematitis
simple	pink to red or white	alternate	lobes or entire	radially symmetrical	5	fused	5	dry & splits open	no bulbils	pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Calystegia pubescens
compound or simple	yellow	alternate	lobes	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Solanum rostratum
simple	blue to purple or pink to red or white	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Mertensia virginica
simple	blue to purple or pink to red or white	alternate	teeth	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Digitalis purpurea
compound	orange or yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	orange or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lotus corniculatus
compound	yellow	alternate	lobes	radially symmetrical	5	unfused	11 or 12 or 13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	herb	not parasitic	no spines or with spines	Geum aleppicum
simple	?	alternate	teeth or entire	radially symmetrical	5	unfused or fused	5	dry & doesn't split open	no bulbils	green to brown	?	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Chenopodium album
simple	?	alternate	teeth or entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Cycloloma atriplicifolium
compound	green to brown or white	alternate	lobes or teeth	radially symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	green to brown or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Angelica lucida
compound	blue to purple or white	alternate	teeth	bilaterally symmetrical	4 or 5	fused	10	dry & splits open or dry & doesn't split open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Trifolium dichotomum
compound or simple	yellow	alternate	lobes	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Tropidocarpum gracile
simple	blue to purple or pink to red or white	alternate	lobes	radially symmetrical	5	fused	5	dry & splits open	no bulbils	blue to purple or pink to red or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Hydrophyllum canadense
compound	pink to red or white or yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Lotus unifoliatus
compound	blue to purple or white	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	blue to purple or white	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	vine	not parasitic	no spines or with spines	Glycine max
compound	white	alternate	lobes	radially symmetrical or bilaterally symmetrical	5	unfused	5	dry & doesn't split open	no bulbils	white	fringed or not fringed	one flower or branched umbel or corymb or raceme	inferior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	herb	not parasitic	no spines or with spines	Anthriscus sylvestris
compound	yellow	alternate	teeth	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Medicago arabica
compound or simple	yellow	alternate	lobes or teeth	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Sisymbrium loeselii
compound or simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Sisymbrium altissimum
simple	blue to purple or white or yellow	alternate	entire	radially symmetrical	5	fused	5	dry & doesn't split open	no bulbils	blue to purple or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Myosotis discolor
simple	green to brown or pink to red	alternate	entire	radially symmetrical	6	fused	6	dry & doesn't split open	no bulbils	green to brown or pink to red	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Rumex patientia
simple	blue to purple or yellow	alternate	entire	bilaterally symmetrical	5	fused	4	dry & splits open	no bulbils	blue to purple or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Kickxia spuria
compound	white or yellow	alternate	entire	bilaterally symmetrical	4 or 5	unfused or fused	10	dry & splits open	no bulbils	white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Lathyrus ochroleucus
simple	yellow	alternate	lobes or teeth or entire	radially symmetrical	5	fused	5	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Physalis heterophylla
simple	blue to purple or white	alternate	teeth or entire	radially symmetrical	5	fused	5	fleshy	no bulbils	blue to purple or green to brown or orange or other or pink to red or white or yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Solanum ptycanthum
simple	yellow	alternate	lobes	bilaterally symmetrical	5 or 6	fused	12 or 13	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings or with wings	radially symmetrical or bilaterally symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Reseda lutea
simple	yellow	alternate	teeth or entire	bilaterally symmetrical	5	fused	5	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	herb	not parasitic	no spines or with spines	Verbascum thapsus
simple	yellow	alternate	teeth or entire	radially symmetrical	4	unfused	6	dry & splits open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Erysimum odoratum
compound	yellow	alternate	teeth	radially symmetrical	5	unfused	13	dry & doesn't split open	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary & hypanthium	no wings or with wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Potentilla litoralis
simple	?	alternate or opposite	entire	radially symmetrical	1 or 2 or 3 or 4 or 5 or 0 or 6 or 7	fused	0 or 5	dry & doesn't split open	no bulbils	green to brown	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Atriplex cristata
simple	yellow	alternate	teeth or entire	radially symmetrical	5	fused	5	fleshy	no bulbils	yellow	fringed or not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	radially symmetrical	subshrub or vine or herb	not parasitic	no spines or with spines	Physalis virginiana
simple	green to brown or white	alternate	teeth or entire	bilaterally symmetrical	5	unfused	5	dry & splits open	no bulbils	green to brown or white	not fringed	one flower or branched umbel or corymb or raceme	superior ovary	no wings	bilaterally symmetrical	herb	not parasitic	no spines or with spines	Hybanthus concolor
